id,target
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,1
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,0
500,1
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,0
606,0
607,0
608,1
609,1
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,1
624,1
625,0
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,0
716,0
717,0
718,0
719,1
720,0
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,0
745,0
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,1
798,1
799,0
800,0
801,1
802,1
803,1
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,1
812,1
813,0
814,0
815,1
816,0
817,1
818,0
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,0
837,1
838,0
839,0
840,1
841,0
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,1
851,1
852,0
853,1
854,1
855,0
856,0
857,0
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,0
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,1
913,0
914,1
915,1
916,1
917,0
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,0
934,0
935,0
936,0
937,1
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,1
955,1
956,1
957,1
958,1
959,1
960,0
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,0
970,0
971,1
972,0
973,1
974,1
975,0
976,0
977,1
978,0
979,1
980,1
981,0
982,1
983,0
984,0
985,0
986,1
987,0
988,0
989,1
990,0
991,1
992,0
993,1
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,0
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,0
1086,0
1087,1
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,0
1111,1
1112,1
1113,1
1114,1
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,0
1128,0
1129,0
1130,1
1131,0
1132,1
1133,1
1134,0
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,0
1143,1
1144,1
1145,0
1146,1
1147,0
1148,0
1149,0
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,0
1167,0
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
